countryId,name,code,population_value,population_rank,population_year,surface-area_value,surface-area_rank,surface-area_year,population-density_value,population-density_rank,population-density_year,gdp_value,gdp_rank,gdp_year,gdp-per-capita_value,gdp-per-capita_rank,gdp-per-capita_year,life-expectancy_value,life-expectancy_rank,life-expectancy_year,older-population-share_value,older-population-share_rank,older-population-share_year,urban-population-share_value,urban-population-share_rank,urban-population-share_year,forest-area-share_value,forest-area-share_rank,forest-area-share_year,internet-users_value,internet-users_rank,internet-users_year,tourist-arrivals_value,tourist-arrivals_rank,tourist-arrivals_year,co2-per-capita_value,co2-per-capita_rank,co2-per-capita_year,fertility-rate_value,fertility-rate_rank,fertility-rate_year,unemployment-rate_value,unemployment-rate_rank,unemployment-rate_year,renewable-electricity-share_value,renewable-electricity-share_rank,renewable-electricity-share_year,tertiary-enrollment_value,tertiary-enrollment_rank,tertiary-enrollment_year,employment-agriculture-share_value,employment-agriculture-share_rank,employment-agriculture-share_year,employment-industry-share_value,employment-industry-share_rank,employment-industry-share_year,employment-services-share_value,employment-services-share_rank,employment-services-share_year
albania,Albanija,ALB,2377128.0,32,2024,28750.0,35,2023,88.105657,25,2023,27.046429,37,2024,11377.775743,40,2024,79.776,27,2024,16.922756,38,2024,58.546363,38,2024,28.791971,32,2023,85.863899,42,2024,2658000.0,27,2020,12.356401,44,2020,1.341,30,2024,10.926,4,2025,98.610594,3,2011,84.14962,10,2024,30.772283,2,2025,21.983247,22,2025,47.244394,40,2025
andorra,Andora,AND,81938.0,43,2024,470.0,41,2023,172.034043,12,2023,4.039842,45,2024,49303.649167,17,2024,84.188,5,2024,15.94569,40,2024,88.885004,8,2024,34.042553,21,2023,94.397598,15,2024,5207000.0,19,2020,46.217184,16,2020,1.087,44,2024,,,,93.340391,4,2021,67.676768,33,2024,,,,,,,,,
austria,Avstrija,AUT,9177982.0,18,2024,83879.0,22,2023,110.661185,21,2023,534.79072,14,2024,58268.878765,11,2024,81.995122,20,2024,20.606403,22,2024,69.465818,28,2024,47.240265,8,2023,91.925734,25,2025,15091000.0,11,2020,53.061166,11,2020,1.31,31,2024,5.582,21,2025,79.911428,6,2021,92.612671,7,2024,2.766473,27,2025,24.647493,20,2025,72.586034,20,2025
belarus,Belorusija,BLR,9132629.0,19,2024,207629.0,14,2023,45.217077,38,2023,75.961865,30,2024,8317.633999,43,2024,74.365341,44,2024,17.666564,36,2024,79.155102,17,2024,43.408069,9,2023,94.261821,17,2024,3598000.0,24,2020,46.739258,15,2020,1.217,37,2024,3.38,35,2025,3.146536,43,2021,70.110751,31,2024,9.478375,9,2025,31.058202,5,2025,59.463445,35,2025
belgium,Belgija,BEL,11858610.0,12,2024,30689.0,34,2023,386.303732,5,2023,671.370082,11,2024,56614.56795,13,2024,82.3,17,2024,20.558081,23,2024,87.612656,11,2024,22.604447,33,2023,95.775791,11,2024,2584000.0,28,2020,59.185045,5,2020,1.44,18,2024,5.906,20,2025,23.543157,31,2021,82.14756,13,2023,0.984722,38,2025,19.246675,28,2025,79.768583,7,2025
bosnia-and-herzegovina,Bosna in Hercegovina,BIH,3164253.0,29,2024,51210.0,27,2023,62.208457,34,2023,29.613572,36,2024,9358.78769,41,2024,78.044,33,2024,22.230239,10,2024,52.12243,43,2024,42.732617,10,2023,86.100911,41,2024,197000.0,41,2020,50.498447,13,2020,1.492,11,2024,11.037,3,2025,39.339663,23,2021,45.502762,44,2023,16.708993,4,2025,30.600161,7,2025,52.690846,39,2025
bulgaria,Bolgarija,BGR,6441421.0,22,2024,110996.758,16,2023,59.382793,35,2023,113.343356,25,2024,17596.017366,35,2024,75.760976,42,2024,22.030336,12,2024,73.949936,22,2024,36.219602,15,2023,82.438955,45,2024,4973000.0,21,2020,39.386243,21,2020,1.72,4,2024,3.536,34,2025,22.19181,33,2021,69.546043,32,2024,4.689222,14,2025,27.876401,10,2025,67.434378,27,2025
croatia,Hrvaška,HRV,3866200.0,28,2024,88070.0,20,2023,68.97223,32,2023,92.98381,27,2024,24050.439793,31,2024,78.929268,29,2024,23.187771,7,2024,57.515898,39,2024,34.78574,18,2023,83.6324,43,2024,21608000.0,7,2020,30.885643,34,2020,1.46,15,2024,5.002,24,2025,69.880999,8,2021,81.177521,14,2023,4.327734,16,2025,26.361721,14,2025,69.310606,25,2025
cyprus,Ciper,CYP,1358282.0,38,2024,9250.0,39,2023,145.560173,14,2023,37.634533,34,2024,38674.292969,21,2024,81.821,23,2024,14.616184,44,2024,66.682426,31,2024,18.665584,35,2023,89.600992,30,2024,4117000.0,23,2019,43.775984,18,2020,1.38,26,2024,4.924,25,2025,15.134987,37,2021,120.877274,2,2024,2.154609,33,2025,16.268876,37,2025,81.576515,4,2025
czechia,Češka,CZE,10905028.0,13,2024,78871.43,23,2023,140.785548,15,2023,347.034063,18,2024,31823.307829,24,2024,79.978049,26,2024,20.845384,19,2024,72.794798,23,2024,34.762388,19,2023,87.68776,39,2024,37202000.0,4,2019,66.43214,3,2020,1.36,29,2024,2.825,39,2025,14.02349,38,2021,66.728287,34,2023,2.708943,28,2025,34.894383,1,2025,62.396674,32,2025
denmark,Danska,DNK,5976992.0,23,2024,42920.0,30,2023,148.6738,13,2023,424.524722,16,2024,71026.483227,8,2024,82.253659,19,2024,20.86607,18,2024,88.696055,10,2024,15.7815,38,2023,99.769152,1,2024,15595000.0,9,2020,37.529898,25,2020,1.47,13,2024,5.529,22,2025,78.95888,7,2021,78.960411,19,2024,1.620475,36,2025,18.804706,29,2025,79.574818,9,2025
estonia,Estonija,EST,1372341.0,37,2024,45340.0,29,2023,32.068476,39,2023,43.13042,33,2024,31428.354782,25,2024,79.295122,28,2024,21.297332,15,2024,70.698116,24,2024,57.065294,5,2023,92.237962,24,2024,1695000.0,32,2020,42.707199,19,2020,1.18,38,2024,8.313,11,2025,39.957385,21,2021,65.669228,35,2024,2.956841,25,2025,25.997386,15,2025,71.045773,22,2025
finland,Finska,FIN,5619911.0,24,2024,338480.0,9,2023,18.370545,42,2023,298.696961,20,2024,53149.767193,16,2024,82.336585,16,2024,23.897237,5,2024,74.263719,21,2024,73.723516,1,2023,93.724052,20,2024,896000.0,35,2020,52.561161,12,2020,1.25,33,2024,9.461,7,2025,52.930299,15,2021,110.304497,3,2024,3.493378,22,2025,20.840029,24,2025,75.666555,16,2025
france,Francija,FRA,68551653.0,5,2024,606410.0,4,2023,126.862021,16,2023,3160.442622,3,2024,46103.084086,18,2024,82.980488,12,2024,22.146562,11,2024,78.799975,19,2024,32.476482,25,2023,88.653816,35,2024,117109000.0,1,2020,31.62946,32,2020,1.61,6,2024,7.542,12,2025,22.803873,32,2021,71.534691,29,2024,2.334129,30,2025,19.339209,27,2025,78.326661,10,2025
germany,Nemčija,DEU,83516593.0,3,2024,357680.0,8,2023,238.35181,9,2023,4685.592578,1,2024,56103.732318,14,2024,80.792683,25,2024,23.195587,6,2024,82.021143,15,2024,32.678934,24,2023,93.499996,21,2024,12449000.0,12,2020,58.041768,7,2020,1.36,28,2024,3.711,32,2025,39.830567,22,2021,76.709686,23,2024,1.071045,37,2025,25.974166,16,2025,72.954789,18,2025
greece,Grčija,GRC,10405134.0,16,2024,131960.0,15,2023,80.739728,28,2023,256.238372,21,2024,24626.148186,30,2024,81.839024,22,2024,23.939763,4,2024,78.996786,18,2024,30.269977,29,2023,86.269689,40,2024,7406000.0,16,2020,38.137479,23,2020,1.24,35,2024,8.54,9,2025,40.564014,19,2021,165.113419,1,2023,10.677789,8,2025,16.315187,36,2025,73.007024,17,2025
hungary,Madžarska,HUN,9562065.0,17,2024,93030.0,18,2023,105.108328,23,2023,222.722739,22,2024,23292.326388,33,2024,76.72439,37,2024,20.993197,17,2024,70.491826,25,2024,22.448434,34,2023,93.778986,19,2024,31641000.0,6,2020,36.733223,27,2020,1.41,22,2024,4.521,30,2025,19.144518,35,2021,60.516869,36,2024,4.113683,18,2025,30.534657,8,2025,65.35166,28,2025
iceland,Islandija,ISL,386506.0,42,2024,103000.0,17,2023,3.824883,45,2023,33.255181,35,2024,86040.530985,7,2024,82.809756,14,2024,15.644815,42,2024,94.181904,6,2024,0.528744,44,2023,98.209198,6,2024,488000.0,38,2020,31.579723,33,2020,1.56,7,2024,3.625,33,2025,99.993639,1,2016,76.520073,24,2023,3.606555,21,2025,18.244403,30,2025,78.149464,12,2025
ireland,Irska,IRL,5395790.0,27,2024,70280.0,24,2023,77.101727,30,2023,609.15746,12,2024,112894.953241,4,2024,83.009756,11,2024,15.892078,41,2024,64.347038,33,2024,11.525911,41,2023,97.187698,9,2024,10951000.0,15,2019,54.145821,8,2020,1.47,14,2024,4.632,29,2025,37.154178,24,2021,77.593338,21,2022,3.853201,19,2025,18.213975,32,2025,77.932824,13,2025
italy,Italija,ITA,58952704.0,6,2024,302070.0,11,2023,199.459678,11,2023,2380.825077,4,2024,40385.341396,20,2024,83.95122,7,2024,24.624777,2,2024,69.604754,26,2024,32.894495,23,2023,89.22072,32,2024,38419000.0,3,2020,37.858982,24,2020,1.18,39,2024,6.391,16,2025,40.97357,18,2021,75.949654,25,2023,3.347217,24,2025,26.426025,13,2025,70.226762,23,2025
kosovo,Kosovo,XKX,1594353.0,36,2024,,,,,,,11.197246,41,2024,7023.065985,45,2024,78.222,32,2024,10.074104,46,2024,50.321444,44,2024,,,,89.443032,31,2018,,,,45.283677,17,2016,1.538,9,2024,,,,6.374477,42,2021,,,,,,,,,,,,
latvia,Latvija,LVA,1866124.0,34,2024,64590.0,26,2023,30.270127,40,2023,43.684254,32,2024,23409.084515,32,2024,76.429268,40,2024,21.73584,14,2024,68.483949,30,2024,54.995983,6,2023,92.70757,23,2024,3204000.0,26,2020,29.164897,38,2020,1.24,36,2024,6.568,15,2025,63.596134,13,2021,82.917351,12,2024,6.663652,11,2025,21.836132,23,2025,71.500216,21,2025
liechtenstein,Lihtenštajn,LIE,40450.0,44,2024,160.0,43,2023,249.0375,8,2023,8.239379,44,2023,206780.590353,2,2023,84.2,4,2024,20.72611,21,2024,14.657585,46,2024,41.875,11,2023,98.264198,5,2024,58400.001526,44,2020,29.310784,37,2020,1.37,27,2024,,,,,,,46.018959,43,2021,,,,,,,,,
lithuania,Litva,LTU,2888278.0,30,2024,65290.0,25,2023,45.871965,37,2023,84.869216,29,2024,29384.01896,26,2024,77.195122,36,2024,20.166489,26,2024,68.828583,29,2024,35.23015,17,2023,89.161163,33,2024,2284000.0,29,2020,33.472003,29,2020,1.11,42,2024,6.731,14,2025,65.614415,11,2021,75.617737,26,2024,4.662908,15,2025,25.901819,17,2025,69.435273,24,2025
luxembourg,Luksemburg,LUX,677012.0,39,2024,2590.0,40,2023,258.862053,7,2023,93.279852,26,2024,137781.681659,3,2024,83.195122,9,2024,15.476364,43,2024,94.84387,5,2024,34.453827,20,2023,99.129022,2,2025,525000.0,37,2020,99.655626,1,2020,1.25,34,2024,6.343,17,2025,89.044796,5,2021,22.41037,45,2024,0.87817,39,2025,7.64402,41,2025,91.47781,1,2025
malta,Malta,MLT,568847.0,41,2024,320.0,42,2023,1727.334375,2,2023,24.971575,38,2024,43898.578181,19,2024,82.956098,13,2024,20.212303,25,2024,95.654626,3,2024,1.4375,43,2023,93.860298,18,2024,718000.0,36,2020,25.004463,43,2020,1.01,45,2024,2.896,38,2025,11.889792,40,2021,80.525009,16,2023,0.876548,40,2025,17.737307,34,2025,81.386145,6,2025
moldova,Moldavija,MDA,2402306.0,31,2024,33850.0,33,2023,85.437585,26,2023,18.200341,39,2024,7576.195894,44,2024,71.332,46,2024,16.211512,39,2024,43.516472,45,2024,11.737018,40,2023,77.368797,46,2024,29000.0,45,2020,26.142771,41,2020,1.726,3,2024,1.505,41,2025,6.503906,41,2021,74.710938,27,2024,50.502048,1,2025,12.553872,40,2025,36.944139,41,2025
monaco,Monako,MCO,38631.0,45,2024,74.9,44,2023,18692.898273,1,2023,11.125783,42,2024,288001.433369,1,2024,86.497,1,2024,36.16655,1,2024,100.0,1,2024,0.0,45,2023,99.044899,3,2024,159000.0,42,2020,,,,2.102,1,2024,,,,,,,77.48069,22,2024,,,,,,,,,
montenegro,Črna gora,MNE,623525.0,40,2024,13888.0,38,2023,46.359033,36,2023,8.270017,43,2024,13263.328128,39,2024,77.890244,34,2024,17.83208,35,2024,65.542231,32,2024,61.486989,3,2023,88.882584,34,2024,351000.0,40,2020,32.540487,30,2020,1.8,2,2024,13.572,1,2025,61.777013,14,2021,55.174301,39,2023,4.192709,17,2025,18.227952,31,2025,77.579338,14,2025
netherlands,Nizozemska,NLD,17993485.0,11,2024,41540.0,31,2023,530.950906,4,2023,1214.927699,8,2024,67520.421896,9,2024,81.965854,21,2024,20.496078,24,2024,95.639652,4,2024,11.057443,42,2023,97.006798,10,2024,7265000.0,17,2020,59.772428,4,2020,1.43,19,2024,3.874,31,2025,33.1272,28,2021,86.593826,9,2023,1.704164,35,2025,13.756164,39,2025,84.539671,2,2025
north-macedonia,Severna Makedonija,MKD,1824359.0,35,2024,25710.0,36,2023,72.474861,31,2023,16.951682,40,2024,9291.856617,42,2024,76.616585,38,2024,18.02476,34,2024,62.564538,34,2024,39.710151,13,2023,93.1,22,2025,118000.0,43,2020,27.000062,40,2020,1.4,24,2024,12.256,2,2025,30.967637,29,2021,55.008202,41,2023,8.502725,10,2025,30.626015,6,2025,60.87126,33,2025
norway,Norveška,NOR,5572279.0,25,2024,624500.0,3,2023,15.1525,43,2023,483.592648,15,2024,86785.433449,6,2024,83.160976,10,2024,18.785241,32,2024,83.329374,13,2024,33.500975,22,2023,99.0,4,2024,1397000.0,33,2020,53.80064,9,2020,1.45,17,2024,4.637,28,2025,99.10383,2,2021,95.498756,5,2024,2.500616,29,2025,17.835371,33,2025,79.664013,8,2025
poland,Poljska,POL,36559233.0,9,2024,313930.0,10,2023,119.787616,17,2023,917.767106,10,2024,25103.565661,29,2024,78.409756,30,2024,20.143403,27,2024,59.970547,37,2024,31.080419,28,2023,88.584964,36,2024,88515000.0,2,2019,58.940507,6,2020,1.14,41,2024,2.976,37,2025,17.459999,36,2021,80.914963,15,2024,6.222566,12,2025,30.025337,9,2025,63.752102,30,2025
portugal,Portugalska,PRT,10694681.0,14,2024,92230.0,19,2023,115.475189,18,2023,313.271185,19,2024,29292.242105,27,2024,82.382927,15,2024,24.53065,3,2024,61.328191,36,2024,36.154995,16,2023,88.487045,37,2024,4208000.0,22,2020,30.279261,35,2020,1.41,23,2024,6.164,18,2025,64.906177,12,2021,77.677818,20,2023,2.776226,26,2025,24.550906,21,2025,72.672868,19,2025
romania,Romunija,ROU,19051804.0,10,2024,238400.0,13,2023,82.845367,27,2023,382.564218,17,2024,20080.209622,34,2024,76.458537,39,2024,19.980999,29,2024,52.167478,42,2024,30.115829,30,2023,91.290486,26,2024,5023000.0,20,2020,28.5131,39,2020,1.39,25,2024,5.992,19,2025,44.857424,17,2021,55.168289,40,2023,10.945517,7,2025,32.571271,3,2025,56.483212,37,2025
russian-federation,Rusija,RUS,143533851.0,1,2024,17125190.0,1,2023,8.782272,44,2023,2173.835807,5,2024,14889.018555,37,2024,73.440488,45,2024,17.177475,37,2024,75.111914,20,2024,49.784361,7,2023,94.364954,16,2024,6359000.0,18,2020,89.677034,2,2020,1.418,21,2024,2.133,40,2025,19.154475,34,2021,60.389124,37,2024,5.108977,13,2025,25.832463,18,2025,69.058548,26,2025
san-marino,San Marino,SMR,33977.0,46,2024,60.0,45,2023,564.333333,3,2023,2.027527,46,2023,59879.717302,10,2023,85.817,2,2024,22.409994,9,2024,97.156056,2,2024,16.666667,37,2023,97.352203,7,2024,1904000.0,31,2019,,,,1.158,40,2024,,,,,,,57.548747,38,2024,,,,,,,,,
serbia,Srbija,SRB,6586476.0,21,2024,84990.0,21,2023,78.763028,29,2023,90.097766,28,2024,13679.206598,38,2024,75.968293,41,2024,22.686038,8,2024,62.383003,35,2024,32.389635,26,2023,87.690713,38,2024,446000.0,39,2020,53.716137,10,2020,1.64,5,2024,7.123,13,2025,34.982189,27,2021,70.582649,30,2024,18.027437,3,2025,27.067867,12,2025,54.904728,38,2025
slovak-republic,Slovaška,SVK,5422069.0,26,2024,49030.0,28,2023,112.868968,19,2023,140.934077,24,2024,25992.67485,28,2024,78.370732,31,2024,18.537399,33,2024,53.19197,41,2024,40.056156,12,2023,89.82507,28,2024,15299000.0,10,2018,42.552438,20,2020,1.46,16,2024,5.359,23,2025,23.560768,30,2021,54.474319,42,2024,2.163048,32,2025,34.528225,2,2025,63.308689,31,2025
slovenia,Slovenija,SVN,2127400.0,33,2024,20480.0,37,2023,105.314808,22,2023,72.972015,31,2024,34301.031869,23,2024,82.285366,18,2024,21.772349,13,2024,55.757771,40,2024,61.174894,4,2023,90.763555,27,2024,1216000.0,34,2020,47.477881,14,2020,1.52,10,2024,3.175,36,2025,36.112686,25,2021,80.080688,18,2023,3.657223,20,2025,31.968419,4,2025,64.374259,29,2025
spain,Španija,ESP,48848840.0,7,2024,505975.98,7,2023,96.763617,24,2023,1725.671653,6,2024,35326.768307,22,2024,83.887805,8,2024,21.145444,16,2024,80.3152,16,2024,37.192589,14,2023,95.757452,13,2024,36410000.0,5,2020,34.236757,28,2020,1.1,43,2024,10.376,5,2025,47.014914,16,2021,93.768967,6,2024,3.374398,23,2025,19.851445,25,2025,76.774167,15,2025
sweden,Švedska,SWE,10569709.0,15,2024,528660.0,6,2023,25.871368,41,2023,603.715224,13,2024,57117.487744,12,2024,84.063415,6,2024,20.746768,20,2024,88.855975,9,2024,68.701353,2,2023,95.766298,12,2025,1957000.0,30,2020,25.943913,42,2020,1.43,20,2024,8.694,8,2025,67.391937,10,2021,83.99881,11,2024,1.766847,34,2025,16.82196,35,2025,81.411212,5,2025
switzerland,Švica,CHE,9005582.0,20,2024,41290.7,32,2023,224.978619,10,2023,936.564198,9,2024,103998.186686,5,2024,84.407317,3,2024,20.019052,28,2024,85.461537,12,2024,32.382738,27,2023,97.321039,8,2025,11818000.0,13,2019,32.336583,31,2020,1.29,32,2024,4.873,26,2025,67.876234,9,2021,73.543053,28,2024,2.241765,31,2025,19.589692,26,2025,78.168543,11,2025
turkiye,Turčija,TUR,85518661.0,2,2024,785350.0,2,2023,110.866215,20,2023,1359.123769,7,2024,15892.715729,36,2024,77.421,35,2024,10.284181,45,2024,89.344312,7,2024,29.479568,31,2023,89.77024,29,2025,15971000.0,8,2020,38.95612,22,2020,1.48,12,2024,8.52,10,2025,35.418946,26,2021,105.886063,4,2023,14.219983,5,2025,27.290562,11,2025,58.489455,36,2025
ukraine,Ukrajina,UKR,37860221.0,8,2024,603550.0,5,2023,65.123983,33,2023,190.741262,23,2024,5389.473145,46,2024,74.692,43,2024,18.962448,31,2024,69.531564,27,2024,16.755264,36,2023,82.474899,44,2024,3382000.0,25,2020,30.017673,36,2020,0.988,46,2024,9.834,6,2021,12.013659,39,2021,87.192001,8,2024,14.116201,6,2021,25.218645,19,2021,60.665154,34,2021
united-kingdom,Združeno kraljestvo,GBR,69226000.0,4,2024,243610.0,12,2023,283.106684,6,2023,3686.033044,2,2024,53246.367615,15,2024,81.386854,24,2024,19.499767,30,2024,83.242954,14,2024,13.290713,39,2023,95.472099,14,2024,11101000.0,14,2020,36.809138,26,2020,1.551,8,2024,4.746,27,2025,40.199976,20,2021,80.41465,17,2023,0.851259,41,2025,15.914095,38,2025,83.234634,3,2025
